src_ip,dst_ip,protocol,time_bin,start_time,end_time,packet_count,total_bytes,mean_pkt_len,std_pkt_len,min_pkt_len,max_pkt_len,duration_s,packets_per_s,bytes_per_s
104.18.87.42,192.168.68.114,6,29512419,1770745140.269604,1770745185.315961,4,288,72.0,0.0,72,72,45.04635691642761,0.08879741390454753,6.393413801127422
104.18.87.42,192.168.68.114,6,29512420,1770745230.36704,1770745230.36837,2,144,72.0,0.0,72,72,0.0013301372528076172,1503.604230148772,108259.5045707116
104.18.87.42,192.168.68.114,6,29512421,1770745275.434323,1770745275.434949,2,144,72.0,0.0,72,72,0.0006258487701416016,3195.6601904761906,230087.5337142857
104.18.87.42,192.168.68.114,6,29512422,1770745320.511688,1770745358.237113,8,654,81.75,18.053491945564755,72,111,37.725425004959106,0.21205857850371146,17.33578879267841
104.18.94.41,192.168.68.114,6,29512424,1770745473.915677,1770745474.068089,79,95685,1211.2025316455697,512.6845978928814,72,1520,0.15241193771362305,518.3321017047783,627805.1538179964
104.18.94.41,192.168.68.114,6,29512425,1770745519.141542,1770745535.322013,3,216,72.0,0.0,72,72,16.180470943450928,0.18540869486955538,13.349426030607988
104.18.94.41,192.168.68.114,6,29512426,1770745564.196007,1770745609.251635,2,144,72.0,0.0,72,72,45.055628061294556,0.04438957098276737,3.1960491107592506
104.18.94.41,192.168.68.114,6,29512427,1770745654.309455,1770745654.309455,1,72,72.0,0.0,72,72,0.0,1.0,72.0
104.18.94.41,192.168.68.114,6,29512428,1770745699.364838,1770745699.364838,1,72,72.0,0.0,72,72,0.0,1.0,72.0
104.18.94.41,192.168.68.114,6,29512429,1770745744.41754,1770745744.41754,1,72,72.0,0.0,72,72,0.0,1.0,72.0
104.18.94.41,192.168.68.114,17,29512424,1770745474.074216,1770745476.339665,185,194028,1048.8,426.6905099769012,71,1248,2.265449047088623,81.66151440825713,85646.59631138008
104.18.95.41,192.168.68.114,17,29512424,1770745473.556689,1770745473.628843,27,26683,988.2592592592592,463.5993456384007,72,1248,0.07215404510498047,374.1993946523216,369806.01657436654
104.82.121.132,192.168.68.114,6,29512414,1770744845.668736,1770744892.494655,223,270288,1212.053811659193,559.6434086442987,72,1520,46.82591891288757,4.7623197830854584,5772.18784542871
104.82.121.132,192.168.68.114,6,29512415,1770744937.523317,1770744937.523317,1,72,72.0,0.0,72,72,0.0,1.0,72.0
104.82.121.132,192.168.68.114,6,29512416,1770744965.872731,1770744965.892012,3,240,80.0,13.856406460551018,72,96,0.01928091049194336,155.5943118585384,12447.544948683071
108.138.217.40,192.168.68.114,6,29512414,1770744848.712036,1770744893.162862,50,35442,708.84,673.9594658676834,72,1500,44.4508261680603,1.1248384858125988,797.3305122834026
108.138.217.40,192.168.68.114,6,29512415,1770744901.24633,1770744946.475015,11,7309,664.4545454545455,699.696128849712,72,1500,45.22868490219116,0.2432084864680001,161.600984326783
108.138.217.40,192.168.68.114,6,29512416,1770744984.203237,1770744984.360561,11,7919,719.9090909090909,731.477607934167,72,1500,0.15732383728027344,69.91947431591964,50335.66519161524
108.138.217.40,192.168.68.114,6,29512417,1770745029.694729,1770745074.770103,2,144,72.0,0.0,72,72,45.07537388801575,0.04437012558051666,3.194649041797199
108.138.217.40,192.168.68.114,6,29512418,1770745119.799362,1770745119.799362,1,72,72.0,0.0,72,72,0.0,1.0,72.0
108.138.217.40,192.168.68.114,6,29512419,1770745164.83826,1770745164.83826,1,72,72.0,0.0,72,72,0.0,1.0,72.0
108.138.217.40,192.168.68.114,6,29512420,1770745209.902848,1770745224.37018,4,327,81.75,19.5,72,111,14.467331886291504,0.2764849822647805,22.602647300145808
108.138.233.68,192.168.68.114,17,29512424,1770745465.354988,1770745469.624388,4251,6284874,1478.4460127028935,144.78380016620767,91,1500,4.269399881362915,995.690288594602,1472074.3370596825
108.138.233.68,192.168.68.114,17,29512425,1770745502.967814,1770745534.589906,1346,1886419,1401.5,318.72003131951453,91,1500,31.6220920085907,42.565178788118615,59655.098071548244
